Team,Name,Position,ETR Rank,ADP,ADP Differential,Week_17,Week_16,Week_15,Division
HOU,C.J. Stroud,QB,71,47.1,-23.9,BAL,KC,MIA,AFC SOUTH
SF,George Kittle,TE,72,69.4,-2.6,DET,MIA,LAR,NFC WEST
MIN,Jordan Addison,WR,73,77.6,4.6,GB,SEA,CHI,NFC NORTH
CHI,D'Andre Swift,RB,74,77.3,3.3,SEA,DET,MIN,NFC NORTH
NE,Rhamondre Stevenson,RB,75,81.3,6.3,LAC,BUF,ARI,AFC EAST
DET,David Montgomery,RB,76,70.1,-5.9,SF,CHI,BUF,NFC NORTH
DAL,Dak Prescott,QB,77,79.5,2.5,PHI,TB,CAR,NFC EAST
CIN,Joe Burrow,QB,78,73.7,-4.3,DEN,CLE,TEN,AFC NORTH
PIT,Najee Harris,RB,79,91.2,12.2,KC,BAL,PHI,AFC NORTH
DAL,Jake Ferguson,TE,80,84.5,4.5,PHI,TB,CAR,NFC EAST
PIT,Jaylen Warren,RB,81,95.3,14.3,KC,BAL,PHI,AFC NORTH
LAC,Ladd McConkey,WR,82,72.7,-9.3,NE,DEN,TB,AFC WEST
SEA,Tyler Lockett,WR,83,115.8,32.8,CHI,MIN,GB,NFC WEST
BUF,Keon Coleman,WR,84,68.1,-15.9,NYJ,NE,DET,AFC EAST
GB,Christian Watson,WR,85,87.4,2.4,MIN,NO,SEA,NFC NORTH
ARI,Kyler Murray,QB,86,78.8,-7.2,LAR,CAR,NE,NFC WEST
TEN,Calvin Ridley,WR,87,67.1,-19.9,JAX,IND,CIN,AFC SOUTH
MIN,Aaron Jones,RB,88,65.6,-22.4,GB,SEA,CHI,NFC NORTH
LAC,Josh Palmer,WR,89,131.5,42.5,NE,DEN,TB,AFC WEST
PHI,Dallas Goedert,TE,90,107.6,17.6,DAL,WAS,PIT,NFC EAST
DET,Jameson Williams,WR,91,92.2,1.2,SF,CHI,BUF,NFC NORTH
LV,Zamir White,RB,92,74.3,-17.7,NO,JAX,ATL,AFC WEST
DEN,Javonte Williams,RB,93,107.0,14.0,CIN,LAC,IND,AFC WEST
CIN,Zack Moss,RB,94,88.6,-5.4,DEN,CLE,TEN,AFC NORTH
KC,Rashee Rice,WR,95,85.9,-9.1,PIT,HOU,CLE,AFC WEST
GB,Jordan Love,QB,96,83.4,-12.6,MIN,NO,SEA,NFC NORTH
CLE,David Njoku,TE,97,90.2,-6.8,MIA,CIN,KC,AFC NORTH
CHI,Caleb Williams,QB,98,98.8,0.8,SEA,DET,MIN,NFC NORTH
JAX,Trevor Lawrence,QB,99,117.2,18.2,TEN,LV,NYJ,AFC SOUTH
TEN,Tony Pollard,RB,100,95.2,-4.8,JAX,IND,CIN,AFC SOUTH
NYG,Devin Singletary,RB,101,113.4,12.4,IND,ATL,BAL,NFC EAST
DEN,Courtland Sutton,WR,102,112.3,10.3,CIN,LAC,IND,AFC WEST
LV,Brock Bowers,TE,103,100.7,-2.3,NO,JAX,ATL,AFC WEST
BUF,Curtis Samuel,WR,104,106.5,2.5,NYJ,NE,DET,AFC EAST
CAR,Jonathon Brooks,RB,105,98.8,-6.2,TB,ARI,DAL,NFC SOUTH
WAS,Jayden Daniels,QB,106,106.1,0.1,ATL,PHI,NO,NFC EAST
LV,Jakobi Meyers,WR,107,124.9,17.9,NO,JAX,ATL,AFC WEST
NYJ,Mike Williams,WR,108,110.3,2.3,BUF,LAR,JAX,AFC EAST
SF,Brock Purdy,QB,109,97.6,-11.4,DET,MIA,LAR,NFC WEST
CIN,Chase Brown,RB,110,124.6,14.6,DEN,CLE,TEN,AFC NORTH
MIA,Raheem Mostert,RB,111,87.1,-23.9,CLE,SF,HOU,AFC EAST
MIA,Tua Tagovailoa,QB,112,110.9,-1.1,CLE,SF,HOU,AFC EAST
ARI,Trey Benson,RB,113,109.4,-3.6,LAR,CAR,NE,NFC WEST
JAX,Gabe Davis,WR,114,141.6,27.6,TEN,LV,NYJ,AFC SOUTH
TEN,Tyjae Spears,RB,115,120.2,5.2,JAX,IND,CIN,AFC SOUTH
LAC,Gus Edwards,RB,116,115.5,-0.5,NE,DEN,TB,AFC WEST
ARI,James Conner,RB,117,83.7,-33.3,LAR,CAR,NE,NFC WEST
ATL,Kirk Cousins,QB,118,130.4,12.4,WAS,NYG,LV,NFC SOUTH
NO,Rashid Shaheed,WR,119,120.0,1.0,LV,GB,WAS,NFC SOUTH
CLE,Jerry Jeudy,WR,120,133.8,13.8,MIA,CIN,KC,AFC NORTH
WAS,Brian Robinson,RB,121,118.3,-2.7,ATL,PHI,NO,NFC EAST
IND,Josh Downs,WR,122,143.4,21.4,NYG,TEN,DEN,AFC SOUTH
GB,Romeo Doubs,WR,123,108.6,-14.4,MIN,NO,SEA,NFC NORTH
WAS,Austin Ekeler,RB,124,101.3,-22.7,ATL,PHI,NO,NFC EAST
DET,Jared Goff,QB,125,103.5,-21.5,SF,CHI,BUF,NFC NORTH
BUF,Khalil Shakir,WR,126,111.5,-14.5,NYJ,NE,DET,AFC EAST
DAL,Rico Dowdle,RB,127,137.8,10.8,PHI,TB,CAR,NFC EAST
DAL,Brandin Cooks,WR,128,126.2,-1.8,PHI,TB,CAR,NFC EAST
LAC,Justin Herbert,QB,129,122.3,-6.7,NE,DEN,TB,AFC WEST
GB,Dontayvion Wicks,WR,130,139.2,9.2,MIN,NO,SEA,NFC NORTH
DAL,Ezekiel Elliott,RB,131,128.6,-2.4,PHI,TB,CAR,NFC EAST
LAR,Blake Corum,RB,132,122.8,-9.2,ARI,NYJ,SF,NFC WEST
